,Mkt-RF,SMB,HML,RF,PG_PRC,PG_DIV,AAPL_PRC,AAPL_DIV,PG_RET,AAPL_RET
200001,   -4.74,    4.95,   -0.28,    0.41,29.3231,0.32,0.8004,0.0,-0.06490118452390348,0.009204387845164419
200002,    2.45,   21.70,   -9.93,    0.43,25.4887,0.0,0.8842,0.0,-0.1307638005531475,0.10469765117441288
200003,    5.20,  -16.87,    7.37,    0.47,16.4598,0.0,1.0477,0.0,-0.35423148297088514,0.18491291562994805
200004,   -6.40,   -7.72,    8.61,    0.46,17.4138,0.32,0.9571,0.0,0.07740069745683398,-0.08647513601221735
200005,   -4.42,   -5.11,    2.57,    0.50,19.3811,0.0,0.648,0.0,0.11297361862430955,-0.32295475916832095
200006,    4.64,   13.85,   -9.86,    0.40,16.5395,0.0,0.8082,0.0,-0.14661706507886552,0.24722222222222223
200007,   -2.51,   -2.76,    8.06,    0.48,16.7107,0.35,0.784,0.0,0.031512439916563384,-0.029943083395199244
200008,    7.03,   -1.15,   -0.66,    0.50,18.1267,0.0,0.9403,0.0,0.08473612715206436,0.19936224489795906
200009,   -5.45,   -1.32,    6.13,    0.51,19.6424,0.0,0.3973,0.0,0.08361698488969305,-0.5774752738487716
200010,   -2.76,   -3.81,    5.64,    0.56,21.0422,0.35,0.3018,0.0,0.08908280047244754,-0.2403725144726906
200011,  -10.72,   -2.77,   11.26,    0.51,22.0555,0.0,0.2546,0.0,0.04815561110530253,-0.15639496355202132
200012,    1.19,    0.96,    7.38,    0.50,23.104,0.0,0.2296,0.0,0.047539162567160176,-0.09819324430479182
200101,    3.13,    6.54,   -4.86,    0.54,21.2656,0.35,0.3336,0.0,-0.06442174515235455,0.45296167247386765
200102,  -10.05,   -0.72,   12.87,    0.38,20.8689,0.0,0.2816,0.0,-0.018654540666616426,-0.15587529976019177
200103,   -7.26,    0.35,    6.46,    0.42,18.5304,0.0,0.3405,0.0,-0.11205669680721075,0.20916193181818188
200104,    7.94,    0.54,   -4.72,    0.39,17.8839,0.35,0.3933,0.0,-0.016000733929110944,0.15506607929515415
